DEBUG 2020-09-15 20:36:21,052 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Users.Dto.CreateUserDto
DEBUG 2020-09-15 20:36:21,052 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Users.Dto.UserDto
DEBUG 2020-09-15 20:36:21,052 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Sessions.Dto.TenantLoginInfoDto
DEBUG 2020-09-15 20:36:21,053 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Sessions.Dto.UserLoginInfoDto
DEBUG 2020-09-15 20:36:21,053 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Roles.Dto.PermissionDto
DEBUG 2020-09-15 20:36:21,053 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.MultiTenancy.Dto.CreateTenantDto
DEBUG 2020-09-15 20:36:21,053 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.MultiTenancy.Dto.TenantDto
DEBUG 2020-09-15 20:36:21,053 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2020-09-15 20:36:21,053 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LastProject.Web.Models.Roles.EditRoleModalViewModel
INFO  2020-09-15 20:36:24,900 [1    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,zh-Hans,ja
INFO  2020-09-15 20:36:25,749 [1    ] taProtection.KeyManagement.XmlKeyManager - User profile is available. Using 'C:\Users\刘凯均\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
INFO  2020-09-15 20:36:25,895 [17   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2020-09-15 20:36:25,981 [17   ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2020-09-15 20:36:26,063 [17   ] uthorization.DefaultAuthorizationService - Authorization failed.
INFO  2020-09-15 20:36:26,070 [17   ] tion.Cookies.CookieAuthenticationHandler - AuthenticationScheme: Identity.Application was challenged.
